districtName,regFee,project_cost,project_address,prmtr_com_reg_no,payment_status,payment_token,wfoid,projectCost,projectType,projectRegId,total_est_cost_of_proj,regNo,projectName,districtType,projOrgFDate,extDate,disposed_date,project_ack_no,startDate,endDate,hardcopysubmissionDate,pmtr_email_id,project_status,promoterName,approvedOn,promoterAddress
Ahmedabad,184665,2880430000,FP NO 92 2 R S NO 503A 510 515A 529 530 TPS NO 53A,AAK1818,Paid,PRCOREJPM3386,5386,2880430000,Mixed Development,5386,2880430000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01884/060318,Swati Crimson and Clover,Ahmedabad,2021-07-24 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/180207/004581,2018-01-24,2021-07-24,2018-02-07 15:33:55,swatiprocon@gmail.com,New,SWATISANDHYA PROCON LLP,2018-03-06,"1104-1105, 11TH FLOOR, SIGNATURE-1, NR. MERCEDES SHOWROOM, SURVEY NO. 841/1/2/10, PLOT NO. 287/276, S.G. HIGHWAY"
Gandhinagar,700000,2861640000,BHADAJ DENTAL COLLEGE ROAD NEAR SCIENCE CITY,U45201GJ2008PTC055562,Paid,PRCCTIFP03198,198,2651800000,Mixed Development,198,2651800000,PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00023/EX1/100119,SUPER CITY PHASE 1,Gandhinagar,2018-11-30 00:00:00,2019-05-31 00:00:00, ,PR/GANDHINAGAR/KALOL/AUDA/170720/000112,2014-11-30,2019-05-31,2017-07-20 00:00:00,supercity.luxuria2@gmail.com,Ongoing,SHRINIVAS ORGANISORS PRIVATE LIMITED,2017-08-29,F P NO 23/1 23/5 BHADAJ SUPERCITY ROAD BHADAJ CIRCLE S P RING ROAD BHADAJ
Ahmedabad,903899,2854990000,"Money Plant High Street, land Survey no.208 A, Near- BSNL Office, Jagatpur - Raod, S.G. Road, Ahmedabad",GUJAH102021,Paid,PRC03B2OP5206,11206,2854990000,Commercial,11206,2854990000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA08108/A1C/220923,MONEY PLANT HIGH STREET,Ahmedabad,2025-10-15 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/210112/010145,2020-11-06,2025-10-15,2021-01-02 14:06:32,contactmoneyplant2@gmail.com,New,V SQUARE PROJECTS-JAGATPUR,2021-02-24,"land survey no – 208/A, Opp. Elephant Tample, Near – BSNL Office, Jagatpur Road, S. G. Highway, Jagatpur"
Ahmedabad,298282,2853330000,"Aravalli by Ratnaakar,Applewoods Township Shantipura Cross Road ,Sardar Patel Ring Road",U45205GJ2016PTC086500,Paid,PRCHZ4FER4930,9930,2853330000,Residential/Group Housing,9930,2853330000,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA06968/060520,Aravalli by Ratnaakar,Ahmedabad,2026-06-30 00:00:00, , ,PR/AHMEDABAD/SANAND/AUDA/200220/008911,2020-02-01,2026-06-30,2020-02-10 13:25:15,aravalli.rera@ratnaakar.com,New,Ratnaakar Infratech Private Limited,2020-05-06,"801-802, Regency Plaza, Opp. Rahul Tower Nr. Anandnagar Cross Road, Satellite"
Ahmedabad,843992,2849820000,"SHILP REVANTA, NR CLUB O7 SHELA",AAR1256,Paid,PRCMRD88N5124,11124,2849820000,Mixed Development,11124,2849820000,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA07874/050121,SHILP REVANTA,Ahmedabad,2024-12-31 00:00:00, , ,PR/AHMEDABAD/SANAND/AHMEDABAD TPO/201217/010054,2020-10-28,2024-12-31,2020-12-08 16:26:10,rera.shilpananta@gmail.com,New,AYB BUILDCON LLP,2021-01-05,"204/A, SHILP-3, NEAR MANN PARTY PLOT SINDHU BHAVAN ROAD, BODEKDEV, "
Ahmedabad,438200,2849170000,"OMEX MILL COMPOUND NEW GUJARAT SYNTHETIC NO:3, SARANGPUR",AAI2554,Paid,PRCX1CZ2C3578,4578,2849170000,Commercial,4578,2849170000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01141/EX1/A1C/191220,ISCON COMMERCIAL COMPLEX,Ahmedabad,2019-12-31 00:00:00,2020-12-31 00:00:00, ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/171031/003901,2016-07-15,2021-06-30,2017-10-31 18:27:39,isconcommercialrera2022@gmail.com,Ongoing,ISCON COMMERCIAL COMPLEX PHASE-II,2017-12-29,"ISCON HOUSE, B/H REMBRANDT BUILDING, OPP.  ASSOCIATED PETROL PUMP, OFF C.G. ROAD"
Ahmedabad,234050,2823590000,"Times Square Grand, Plot No. 53, Nr. Sindhu Bhavan, Opp. Goga Maharaj Mandir, Sindhu Bhavan Road, Thaltej, Ahmedabad - 380059",AAJ8459,Paid,PRCRE61754831,8831,3494520000,Commercial,8831,3494520000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05982/300819,Times Square Grand,Ahmedabad,2024-10-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/190802/007851,2018-11-01,2024-10-30,2019-07-22 20:00:00,timessquare03@gmail.com,New,SHREENATHJI INFRA SPACE LLP,2019-08-30,"Times Square Grand, Final Plot No. 53, Nr. Sindhu Bhavan, Opp. Goga Maharaj Mandir, Sindhu Bhavan Road, Thaltej, Ahmedabad - 380059"
Surat,343200,2808600000,"T.P.31 GAVIYAR MAGDALLA,F.P.63/1+62/2/2 TA- CHORASI,SURAT",GUJSR10958,Paid,PRCZWWDNE3750,4750,2251140000,Commercial,4750,2251140000,PR/GJ/SURAT/CHORASI/SUDA/CAA03546/290918,UNITED CITY,Surat,2023-05-15 00:00:00, , ,PR/SURAT/CHORASI/SUDA/171120/004029,2017-11-15,2023-05-15,2017-11-20 17:57:06,admin@unitedcity.in,New,RADHE BUILDSPACE LLP,2018-09-29,"D-1007,ASHIRWAD PALACE,BHATAR ROAD NEAR JIVKORNAGAR,BHATAR SURAT CITY"
Ahmedabad,229531,2805440000,"‘AYAAN’,  Plot bearing 151/2 Final Plot no : 131+132/2 P,O P NO.151/2, TPS No:51 OPP. SWATI RESTAURANT, AMBALI",AAS8615,Paid,PRCMV87RI5050,13050,2805440000,Residential/Group Housing,13050,2805440000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09268/301021,AYAAN,Ahmedabad,2025-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/211007/011740,2021-09-15,2025-12-31,2021-10-04 19:14:15,pivrera@gmail.com,New,PIV REALTY LLP,2021-10-30,"13, Moonlight Complex Opp. Gurukul Temple, Drive in Road"
Gandhinagar,314600,2775690000,"SWAGAT TWINCITY HIGHSTREET, NR. ASHKA HOSPITAL NR. SARGASAN CROSS ROAD, GANDHINAGAR.",GUJ/AMS/36154,Paid,PRC05WH5Y4369,8369,2697750000,Mixed Development,8369,2697750000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA05578/A1M/220222,SWAGAT TWINCITY HIGHSTREET,Gandhinagar,2027-10-30 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GANDHINAGAR TPO/190517/007410,2019-04-22,2027-10-30,2019-05-10 12:48:39,swagatdevelopers.rera@gmail.com,New,SWAGAT DEVELOPERS,2019-06-19,"307-308, Sarthik Square, Nr. GNFC Info Tower, S. G.Highway,  Bodakdev,, Ahmedabad, Gujarat 380054"
Ahmedabad,631264,2761710000,SANATHAL CROSS ROAD AHMEDABAD,U70100GJ1994PTC023863,Paid,PRCY5BKI76043,16043,2761710000,Mixed Development,18998,2761710000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12019/280623,ORCHID GOLD,Ahmedabad,2027-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230519/014656,2023-04-10,2029-03-31,2023-05-09 18:35:15,orchidgold.rera1@gmail.com,New,GALAXY REAL ESTATE DEVELOPERS GUJ PRIVATE LIMITED,2023-06-28,"GOYAL HOUSE,OPP KARNAVATI CLUB S G HIGHWAY"
Ahmedabad,297425,2757600000,"ONE42, Off Ambli Road Ambli",AAC5610,Paid,PRC56W7313475,475,2757700000,Commercial,475,2757700000,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00002/210817,ONE42,Ahmedabad,2021-05-01 00:00:00, , ,PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170728/000291,2017-04-28,2021-05-01,2017-07-28 00:00:00,one42farpoint@gmail.com,Ongoing,FARPOINT PROPERTIES LLP,2017-08-21,"Sera 13, Gandhibaug Society Opp. Nirman Bhavan, Law Garden"
Surat,216190,2751780000,"R.S.No. 153, B/h Bhagwan Mahavir College,  2nd VIP Road, Vesu, Surat",NOT APPLICABLE,Paid,PRCNAH7O13068,1068,2751780000,Residential/Group Housing,1068,2751780000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01804/010318,"Poonyabhumi - A,B,C,F",Surat,2018-12-31 00:00:00, , ,PR/SURAT/SURAT CITY/SUDA/170731/001190,2013-10-30,2018-12-31,2017-07-31 00:00:00,rera@greengroup.co.in,Ongoing,RAJGREEN INFRASTRUCTURE,2018-03-01,"R.s.nO:-153, Punyabhoomi, 2nd VIP Road, Vesu,"
Surat,316300,2738240000,"TP-01 VESU,BLOCK 31 PAIKEE, FP-25, OPP JH AMBANI SCHOOL VESU,SURAT",GUJSR103100,Paid,PRC1ZD1853832,6832,2734990000,Commercial,6832,2734990000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA04304/A1C/200922,HOME LAND CITY ,Surat,2024-02-15 00:00:00, , ,PR/SURAT/SURAT CITY/SUDA/180814/005908,2018-08-15,2024-02-15,2018-08-14 17:32:05,homeland@khuranabuildcomp.com,New,SHREE KRISHNA CORPORATION,2018-12-11,"TP-01 VESU, BLOCK 31 PAIKEE, FP-25, OPP JH AMBANI SCHOOL,  VESU,SURAT"
Vadodara,515385,2720000000,"""Akshar Pavilion"" New 30 Mtr.Dandia bazar Bhyali Road,before Priya Talkies,Gotri,",4790004335746,Paid,PRCP2XUT73404,3404,2720700000,Mixed Development,3404,2720700000,PR/GJ/VADODARA/VADODARA/Others/MAA01471/010218,Akshar Pavilion,Vadodara,2022-03-25 00:00:00, , ,PR/VADODARA/VADODARA/VADODARA TPO/170926/002788,2014-09-24,2022-03-25,2017-09-26 00:00:00,aksharpavilion@gmail.com,Ongoing,AKSHAR PHC REALCON,2018-02-01,"AKSHAR PAVILLION ,NEW 30 MTR DANDIA BAZAR-BHAYLI ROAD  BEFORE PRIYA TALKIES,GOTRI"
Ahmedabad,42050,2702550000,"THE WATERFALL, B/H SHIVALIK COMPLEX, OPP. AMBLI VILLAGE NR. PUSHPAK BUNGLOWS, AMBLI, AHMEDABAD-380015 ",GUJ/AMS/39057,Paid,PRCJZ08WY4407,8407,2702550000,Residential/Group Housing,8407,2702550000,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA05553/140619,THE WATERFALL,Ahmedabad,2024-06-30 00:00:00, , ,PR/AHMEDABAD/DASKROI/AHMEDABAD TPO/190521/007450,2019-05-08,2024-06-30,2019-05-14 17:56:46,shivanishah@armaandevelopers.com,New,ARMAAN INFRASTRUCTURE,2019-06-14,"B-404, Commerce House-5, Corporate Road, Prahladnagar,"
Ahmedabad,86505,2693330000,"GAJANAN 189, NR. RELIANCE PETROL PUMP VASTRAL",NOT APPLICABLE,Paid,PRCTT31N73352,3352,283641000,Mixed Development,3352,283641000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01449/300118,GAJANAN 189,Ahmedabad,2019-10-12 00:00:00, , ,PR/AHMEDABAD/AHMADABAD CITY/AUDA/170925/002743,2015-07-30,2019-10-12,2017-09-25 00:00:00,gajananconstruction99@gmail.com,Ongoing,SHREE RAM DEVELOPERS,2018-01-30,"GAJANAN 189, NR. RELIANCE PETROL PUMP S.P. RING ROAD, VASTRAL"
Vadodara,262950,2691000000,"NILAMBER BELLISSIMO III, NEAR NILAMBER BELLISSIMO VASNA BHAYLI ROAD, VADODARA.",GUJVA100570,Paid,PRCI0TGTX3326,6326,2691000000,Mixed Development,6326,2691000000,PR/GJ/VADODARA/VADODARA/Others/MAA03213/EX1/031023,NILAMBER BELLISSIMO III,Vadodara,2023-06-30 00:00:00,2024-06-30 00:00:00, ,PR/VADODARA/VADODARA/VADODARA TPO/180525/005441,2018-05-09,2024-06-30,2018-05-25 20:27:40,bellissimo3@nilambergroup.in,New,OCTANE INFRA-SPACE,2018-07-21,"NILAMBER ORIENS, 11,NILAMBER ORIENS OPP SHREEM SHRUSHTI,SUNPHARMA ROAD,VADSAR KALALI,"
Surat,568343,2687670000,"R.S. NO. 44/2, T.P.S. NO. 65 (VESU-BHARTHANA-ALTHAN),  O.P. NO. 18, F.P. NO. 18,",AAX1334,Paid,PRC18S5EA6240,16240,2687670000,Mixed Development,19177,2687670000,PR/GJ/SURAT/SURAT CITY/SUDA/MAA12157/180823,ESTELLA,Surat,2029-12-31 00:00:00, , ,PR/SURAT/SURAT CITY/GUJRERA/230606/014850,2023-05-25,2028-11-01,2023-05-31 12:40:15,legal@roongtadevelopers.com,New,SKYTOWER ENTERPRISES LLP,2023-08-18,"4TH FLOOR, ROONGTA SHOPPING CENTRE, BESIDES WHITE HOUSE, OPP. NANDANVAN – 2, VIP ROAD, VESU,"
Ahmedabad,300475,2668490000,"Opp The National Higher Secondary School  Nr Parshwanath Jain Mandir ,Bhuyangdev , Sola Road ",U45200GJ2005PTC046542,Paid,PRC6AZPRX4318,8318,2668490000,Commercial,8318,2668490000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05444/150519,Solaris Business Hub,Ahmedabad,2025-09-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AUDA/190509/007361,2019-04-25,2025-09-30,2019-05-02 15:40:25,aryangroupacc@gmail.com,New,AARYAN INFRA-BUILD PRIVATE LIMITED,2019-05-15,"G-1, Ground Floor, Ambica House, Opp Patel Avenue S G Road"
